,Tool/Asset,URL,Username,Password,Notes
Website & Analytics,,,,,
,Wordpress Login,,,,
,CallRail,,,,
,Hosting,,,,
,Domain registrar / DNS manager,,,,"I recommend keeping this account very secure by delegating access, not sharing the password."
,Google Analytics 4 property,,,,Discovery
,Google Tag Manager ,,,,Discovery
,Google Search Console property,,,,Discovery
,Semrush,,,,
Advertising Platforms,,,,,
,Google Ads account,,,,Discovery
,Meta Business Manager + Facebook & Instagram ad accounts,,,,
Local Search & Reviews,,,,,
,Google Business Profile (Manager role),,,,
,Listing Management (spreadsheet to set up with things like BBB),,,,
Social Media,,,,,
,Facebook Page,,,,
,Instagram Business account,,,,
,LinkedIn Company Page,,,,
,Pinterest,,,,
,Houzz Profile,,,,
,YouTube Brand Channel,,,,
"Email, CRM & Lead Capture",,,,,
,Email - Mailchimp / Constant Contact,,,,
,Hubspot,,,,Discovery
,"BuilderTrend, etc.",,,,Discovery
Reporting & Financial Metrics,,,,,
,"Databox Analytics, etc.",,,,Discovery
,Auto emailed QBO reports,,,,Historic marketing spend is helpful for discovery
Nice-to-Have Items,,,,,
,Current media-buy contracts or sponsorship agreements,,,,
,"List of active subcontractor, vendor, or partner relationships that influence marketing",,,,
